,Access to Medical Care,Civil Liberties,Civil Unrest,Conflict or Warfare,Crime,Cybersecurity,Infectious Diseases,Kidnapping or Hostage Taking,Natural Disasters,Terrorism,Wrongful Detention,Risk Tier,Risk Tier Meaning,Common Name,Risk Factors,Access to medical care,Civil liberties,Civil unrest,Conflict or warfare,Crime,Cybersecurity,Infectious diseases,Kidnapping or hostage taking,Natural disasters,Terrorism,Wrongful detention
Russia,0,1,1,1,1,1,1,0,0,1,1,5,High,Russia,"Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Cybersecurity, Infectious Diseases, Terrorism, Wrongful Detention",Access to medical care is not normally a key risk consideration when traveling to Russia. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Russia. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Russia. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Russia. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Russia. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Russia. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Russia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Russia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Russia. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Russia. Travelers should take enhanced precautions.,Wrongful detention is a key risk consideration when traveling to Russia. Travelers should take enhanced precautions.
Rwanda,1,1,0,0,0,0,1,0,0,0,0,4,Sustained,Rwanda,"Access to Medical Care, Civil Liberties, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Rwanda. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Rwanda. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Rwanda. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Rwanda. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Rwanda. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Rwanda. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Rwanda. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Rwanda. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Rwanda. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Rwanda. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Rwanda. Travelers should take normal precautions.
Saint Barthélemy,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Saint Barthélemy,None,Access to medical care is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Saint Barthélemy. Travelers should take normal precautions.
"Saint Helena, Ascension and Tristan da Cunha",0,0,0,0,0,0,0,0,0,0,0,1,Standard,"Saint Helena, Ascension and Tristan da Cunha",None,"Access to medical care is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Civil liberties is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Civil unrest is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Conflict or warfare is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Crime is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Cybersecurity is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Infectious diseases is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Kidnapping or hostage taking is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Natural disasters is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Terrorism is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions.","Wrongful detention is not normally a key risk consideration when traveling to Saint Helena, Ascension and Tristan da Cunha. Travelers should take normal precautions."
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Saint Kitts and Nevis,None,Access to medical care is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Saint Kitts and Nevis. Travelers should take normal precautions.
Saint Lucia,0,1,0,0,0,0,1,0,0,0,0,1,Standard,Saint Lucia,"Civil Liberties, Infectious Diseases",Access to medical care is not normally a key risk consideration when traveling to Saint Lucia. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Saint Lucia. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Saint Lucia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Saint Lucia. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Saint Lucia. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Saint Lucia. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Saint Lucia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Saint Lucia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Saint Lucia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Saint Lucia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Saint Lucia. Travelers should take normal precautions.
Saint Martin,1,0,0,0,0,0,0,0,0,0,0,1,Standard,Saint Martin,Access to Medical Care,Access to medical care is a key risk consideration when traveling to Saint Martin. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Saint Martin. Travelers should take normal precautions.
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Saint Pierre and Miquelon,None,Access to medical care is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Saint Pierre and Miquelon. Travelers should take normal precautions.
Saint Vincent and the Grenadines,0,1,0,0,0,0,0,0,0,0,0,1,Standard,Saint Vincent and the Grenadines,Civil Liberties,Access to medical care is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Saint Vincent and the Grenadines. Travelers should take normal precautions.
Samoa,1,1,0,0,0,0,0,0,0,0,0,1,Standard,Samoa,"Access to Medical Care, Civil Liberties",Access to medical care is a key risk consideration when traveling to Samoa. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Samoa. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Samoa. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Samoa. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Samoa. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Samoa. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Samoa. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Samoa. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Samoa. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Samoa. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Samoa. Travelers should take normal precautions.
San Marino,0,0,0,0,0,0,1,0,0,0,0,1,Standard,San Marino,Infectious Diseases,Access to medical care is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to San Marino. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to San Marino. Travelers should take normal precautions.
São Tomé and Príncipe,1,0,0,0,1,0,0,0,0,0,0,1,Standard,São Tomé and Príncipe,"Access to Medical Care, Crime",Access to medical care is a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to São Tomé and Príncipe. Travelers should take normal precautions.
Saudi Arabia,0,1,0,0,1,1,0,0,0,1,0,3,Elevated,Saudi Arabia,"Civil Liberties, Crime, Cybersecurity, Terrorism",Access to medical care is not normally a key risk consideration when traveling to Saudi Arabia. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Saudi Arabia. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Saudi Arabia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Saudi Arabia. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Saudi Arabia. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Saudi Arabia. Travelers should take enhanced precautions.,Infectious diseases is not normally a key risk consideration when traveling to Saudi Arabia. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Saudi Arabia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Saudi Arabia. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Saudi Arabia. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Saudi Arabia. Travelers should take normal precautions.
Senegal,1,1,0,0,1,0,1,0,0,0,0,2,Moderate,Senegal,"Access to Medical Care, Civil Liberties, Crime, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Senegal. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Senegal. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Senegal. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Senegal. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Senegal. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Senegal. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Senegal. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Senegal. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Senegal. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Senegal. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Senegal. Travelers should take normal precautions.
Serbia,0,0,0,0,1,0,1,0,0,0,0,2,Moderate,Serbia,"Crime, Infectious Diseases",Access to medical care is not normally a key risk consideration when traveling to Serbia. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Serbia. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Serbia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Serbia. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Serbia. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Serbia. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Serbia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Serbia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Serbia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Serbia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Serbia. Travelers should take normal precautions.
Seychelles,1,0,0,0,0,0,0,0,0,0,0,1,Standard,Seychelles,Access to Medical Care,Access to medical care is a key risk consideration when traveling to Seychelles. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Seychelles. Travelers should take normal precautions.
Sierra Leone,1,1,1,0,1,0,1,0,0,0,0,2,Moderate,Sierra Leone,"Access to Medical Care, Civil Liberties, Civil Unrest, Crime, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Sierra Leone. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Sierra Leone. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Sierra Leone. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Sierra Leone. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Sierra Leone. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Sierra Leone. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Sierra Leone. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Sierra Leone. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Sierra Leone. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Sierra Leone. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Sierra Leone. Travelers should take normal precautions.
Singapore,0,1,0,0,0,0,0,0,0,0,0,1,Standard,Singapore,Civil Liberties,Access to medical care is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Singapore. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Singapore. Travelers should take normal precautions.
Sint Maarten,1,0,0,0,0,0,0,0,0,0,0,1,Standard,Sint Maarten,Access to Medical Care,Access to medical care is a key risk consideration when traveling to Sint Maarten. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Sint Maarten. Travelers should take normal precautions.
Slovakia,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Slovakia,None,Access to medical care is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Slovakia. Travelers should take normal precautions.
Slovenia,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Slovenia,None,Access to medical care is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Slovenia. Travelers should take normal precautions.
Solomon Islands,1,1,0,0,0,0,0,0,0,0,0,1,Standard,Solomon Islands,"Access to Medical Care, Civil Liberties",Access to medical care is a key risk consideration when traveling to Solomon Islands. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Solomon Islands. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Solomon Islands. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Solomon Islands. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Solomon Islands. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Solomon Islands. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Solomon Islands. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Solomon Islands. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Solomon Islands. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Solomon Islands. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Solomon Islands. Travelers should take normal precautions.
Somalia,1,1,1,1,1,1,1,1,0,1,0,5,High,Somalia,"Access to Medical Care, Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Cybersecurity, Infectious Diseases, Kidnapping or Hostage Taking, Terrorism",Access to medical care is a key risk consideration when traveling to Somalia. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Somalia. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Somalia. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Somalia. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Somalia. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Somalia. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Somalia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Somalia. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Somalia. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Somalia. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Somalia. Travelers should take normal precautions.
South Africa,0,0,1,0,1,0,0,1,0,0,0,2,Moderate,South Africa,"Civil Unrest, Crime, Kidnapping or Hostage Taking",Access to medical care is not normally a key risk consideration when traveling to South Africa. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to South Africa. Travelers should take normal precautions.,Civil unrest is a key risk consideration when traveling to South Africa. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to South Africa. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to South Africa. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to South Africa. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to South Africa. Travelers should take normal precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to South Africa. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to South Africa. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to South Africa. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to South Africa. Travelers should take normal precautions.
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,1,Standard,South Georgia and the South Sandwich Islands,None,Access to medical care is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to South Georgia and the South Sandwich Islands. Travelers should take normal precautions.
